id	date_time	DBNS_PTH_H1	DBNS_PTH_H2	DBNS_PTH_H3	DBNS_PTH_P1	DBNS_PTH_P2	DBNS_PTH_P3	DBNS_PTH_T1	DBNS_PTH_T2	DBNS_PTH_T3
322500	2011-12-24 01:05:56	33.24	36.65	39.66	1034.42	27.00	0.00	24.56	22.62	21.14
323000	2011-12-24 09:25:56	28.95	27.07	27.97	1036.16	27.00	0.00	24.32	22.60	21.30
323500	2011-12-24 17:45:31	26.93	25.69	27.23	1033.60	27.00	0.00	24.50	22.24	20.92
324000	2011-12-25 02:05:31	27.07	27.79	29.05	1035.24	27.00	0.00	24.51	21.70	20.60
324500	2011-12-25 10:25:31	26.71	26.22	27.28	1037.87	27.00	0.00	24.45	21.77	20.57
325000	2011-12-25 18:45:31	28.61	31.22	33.33	1034.67	27.00	0.00	24.51	22.16	20.88
325500	2011-12-26 03:05:31	31.35	36.43	38.80	1035.62	27.00	0.00	24.65	22.39	21.01
326000	2011-12-26 11:25:31	29.55	32.93	34.79	1037.11	27.00	0.00	24.65	22.26	21.04
326500	2011-12-26 19:45:31	31.71	38.61	41.55	1035.42	27.00	0.00	24.73	22.37	21.10
327000	2011-12-27 04:05:31	33.90	42.64	47.04	1034.99	27.00	0.00	24.90	22.74	21.18
327500	2011-12-27 12:25:27	34.61	44.40	48.71	1034.43	27.00	0.00	24.98	22.88	21.43
328000	2011-12-27 20:45:27	36.08	47.31	51.89	1034.21	27.00	0.00	25.18	23.16	21.69
328500	2011-12-28 05:05:27	35.04	44.97	49.34	1033.66	27.00	0.00	25.14	22.99	21.38
329000	2011-12-28 13:25:27	37.67	48.43	53.64	1031.84	27.00	0.00	24.97	23.04	21.43
329500	2011-12-28 21:45:27	38.67	50.65	55.85	1032.08	27.00	0.00	25.01	23.07	21.50
330000	2011-12-29 06:05:27	37.77	49.20	54.23	1031.53	27.00	0.00	24.84	22.76	21.23
330500	2011-12-29 14:25:27	38.80	51.76	57.81	1029.29	27.00	0.00	24.93	22.83	21.10
331000	2011-12-29 22:45:21	39.55	50.95	56.56	1032.39	27.00	0.00	24.95	22.99	21.52
331500	2011-12-30 07:05:18	38.53	49.45	54.15	1034.19	27.00	0.00	24.94	22.72	21.32
332000	2011-12-30 18:54:30	38.75	50.06	55.11	1033.66	585.88	0.00	24.84	23.01	21.50
332500	2011-12-31 03:14:30	38.13	48.71	53.43	1034.72	585.88	0.00	24.70	22.74	21.26
333000	2011-12-31 11:34:30	38.16	48.89	53.96	1034.56	585.88	0.00	24.71	22.89	21.25
333500	2011-12-31 19:54:31	38.98	50.09	55.92	1033.52	585.88	0.00	24.76	22.71	20.96
