id	date_time	DBNS_PTH_T2	DBNS_PTH_T3
333800	2012-01-01 00:54:31	22.68	21.39
334000	2012-01-01 04:14:31	22.63	21.22
334200	2012-01-01 07:34:31	22.58	21.04
334400	2012-01-01 10:54:31	22.89	21.48
334600	2012-01-01 14:14:31	23.18	21.74
334800	2012-01-01 17:34:31	23.24	21.79
335000	2012-01-01 20:54:31	22.89	21.40
335200	2012-01-02 00:14:31	22.86	21.37
335400	2012-01-02 03:34:31	22.75	21.24
335600	2012-01-02 06:54:31	22.64	21.18
335800	2012-01-02 10:14:31	22.58	21.20
336000	2012-01-02 13:34:31	22.49	21.26
336200	2012-01-02 16:54:31	22.67	21.28
336400	2012-01-02 20:14:31	22.54	21.23
336600	2012-01-02 23:34:31	22.54	21.25
336800	2012-01-03 02:54:31	22.60	21.13
337000	2012-01-03 06:14:31	22.79	21.41
337200	2012-01-03 09:35:12	22.98	21.49
337400	2012-01-03 12:55:12	22.96	21.55
337600	2012-01-03 16:15:12	23.12	21.71
337800	2012-01-03 19:35:12	22.92	21.44
338000	2012-01-03 22:55:12	22.72	21.24
338200	2012-01-04 02:15:12	22.76	21.29
338400	2012-01-04 05:35:12	22.56	21.08
338600	2012-01-04 08:55:12	22.48	21.20
338800	2012-01-04 12:15:12	22.46	21.11
339000	2012-01-04 15:35:12	22.46	21.10
339200	2012-01-04 18:55:12	22.40	20.90
339400	2012-01-04 22:15:12	22.33	20.92
339600	2012-01-05 01:35:12	22.25	20.83
339800	2012-01-05 04:55:13	21.96	20.66
340000	2012-01-05 08:15:13	22.09	20.80
340200	2012-01-05 11:35:13	22.08	20.79
340400	2012-01-05 14:55:13	22.05	20.72
340600	2012-01-05 18:15:24	22.03	20.73
340800	2012-01-05 21:35:21	22.12	20.80
341000	2012-01-06 00:55:19	0.00	20.74
341200	2012-01-06 04:15:17	22.00	20.73
341400	2012-01-06 07:35:16	22.04	20.80
341600	2012-01-06 10:55:16	22.21	21.03
341800	2012-01-06 14:15:16	22.43	21.06
342000	2012-01-06 17:35:16	22.54	21.17
342200	2012-01-06 20:55:16	22.55	21.16
342400	2012-01-07 00:15:16	22.55	21.12
342600	2012-01-07 03:35:16	22.54	21.10
342800	2012-01-07 06:55:16	22.47	21.04
343000	2012-01-07 10:15:16	22.41	21.17
343200	2012-01-07 13:35:25	22.51	21.26
343400	2012-01-07 16:55:25	22.47	21.24
343600	2012-01-07 20:15:25	22.49	21.16
343800	2012-01-07 23:35:25	22.54	21.28
344000	2012-01-08 02:55:25	22.56	21.30
344200	2012-01-08 06:15:25	22.50	21.26
344400	2012-01-08 09:35:25	22.57	21.24
344600	2012-01-08 12:55:25	22.95	21.58
344800	2012-01-08 16:15:25	22.94	21.57
345000	2012-01-08 19:35:25	22.94	21.52
345200	2012-01-08 22:55:25	22.86	21.47
345400	2012-01-09 02:15:25	22.75	21.39
345600	2012-01-09 05:35:25	22.64	21.24
345800	2012-01-09 08:55:25	22.52	21.21
346000	2012-01-09 12:15:25	22.74	21.53
346200	2012-01-09 15:35:25	22.90	21.58
346400	2012-01-09 18:55:25	22.97	21.59
346600	2012-01-09 22:15:25	22.73	21.32
346800	2012-01-10 01:35:25	22.64	21.30
347000	2012-01-10 04:55:25	22.58	21.22
347200	2012-01-10 08:15:25	22.76	21.25
347400	2012-01-10 11:35:25	22.80	21.44
347600	2012-01-10 14:55:25	22.94	21.54
347800	2012-01-10 18:15:25	22.88	21.54
348000	2012-01-10 21:35:55	22.99	21.50
348200	2012-01-11 00:55:55	22.85	21.42
348400	2012-01-11 04:15:55	22.98	21.54
348600	2012-01-11 07:35:55	22.65	21.28
348800	2012-01-11 10:55:55	22.91	21.54
349000	2012-01-11 14:15:55	22.90	21.50
349200	2012-01-11 17:35:55	22.87	21.49
349400	2012-01-11 20:55:55	22.64	21.14
349600	2012-01-12 00:15:55	22.70	21.41
349800	2012-01-12 07:07:16	22.64	21.22
350000	2012-01-12 10:27:16	22.90	21.42
350200	2012-01-12 13:47:16	22.90	21.54
350400	2012-01-12 17:07:05	22.78	21.40
350600	2012-01-12 20:27:05	22.64	21.11
350800	2012-01-12 23:47:05	22.61	21.34
351000	2012-01-13 03:07:05	22.49	21.08
351200	2012-01-13 06:26:51	22.83	21.52
351400	2012-01-13 10:24:24	22.79	21.26
351600	2012-01-13 13:44:24	22.97	21.44
351800	2012-01-13 17:04:24	22.63	21.17
352000	2012-01-13 20:24:24	22.63	21.08
352200	2012-01-13 23:44:24	22.58	21.07
352400	2012-01-14 03:04:24	22.60	21.00
352600	2012-01-14 06:24:24	22.53	21.12
352800	2012-01-14 09:44:24	22.59	21.12
353000	2012-01-14 13:04:24	22.62	21.18
353200	2012-01-14 16:24:24	22.70	21.36
353400	2012-01-14 19:44:24	22.74	21.45
353600	2012-01-14 23:04:24	22.89	21.44
353800	2012-01-15 02:24:24	22.81	21.46
354000	2012-01-15 05:44:24	22.95	21.50
354200	2012-01-15 09:04:24	22.88	21.49
354400	2012-01-15 12:24:24	22.76	21.41
354600	2012-01-15 15:44:24	22.90	21.39
354800	2012-01-15 19:04:24	22.84	21.35
355000	2012-01-15 22:24:24	22.82	21.27
355200	2012-01-16 01:44:24	22.86	21.32
355400	2012-01-16 05:04:24	22.72	21.32
355600	2012-01-16 08:24:24	22.72	21.24
355800	2012-01-16 11:44:24	22.58	21.14
356000	2012-01-16 15:04:24	22.48	21.08
356200	2012-01-16 18:24:35	22.35	21.06
356400	2012-01-16 21:44:35	22.70	21.39
356600	2012-01-17 01:04:35	22.88	21.36
356800	2012-01-17 04:24:35	22.73	21.21
357000	2012-01-17 07:44:35	22.95	21.51
357200	2012-01-17 11:05:27	22.84	21.42
357400	2012-01-17 14:25:27	22.74	21.21
357600	2012-01-17 17:45:27	22.54	21.13
